fips,state,county,aamort,chmort,infmort,physdistr,mentdistr,diabetic,hiv,foodins,healthyfood,drugmort,mvmort,sleep,uninsure,chuninsure,healthcost,othpcp,othpcpratio,disconyouth,houseincome,freelunch,segbw,segnww,homicide,firearm,under18,over65,aframer,amerindian,asian,hawaiin,hispanic,nonhispanicw,nonenglish,female,rural
1001,Alabama,Autauga,468,55,7,12,13,13,205,14,10,10,19,38,14,3,9859,23,4257:01:00,12,56580,49,34,30,4,16,24.7,14.3,19,0.5,1.2,0.1,2.8,74.9,0.7,51.5,42
1003,Alabama,Baldwin,361,48,6,12,12,10,169,14,5,17,15,33,20,5,9413,37,2680:01:00,16,52387,42,43,32,3,16,22,19.2,9.4,0.7,0.9,0.1,4.5,83,1.2,51.3,42.3
1005,Alabama,Barbour,440,66,12,16,15,18,400,23,11,,19,40,20,4,10117,26,3784:01:00,30,31433,67,25,21,7,13,21.3,17.2,47.3,0.6,0.4,0.2,4.4,46.6,1.8,46.6,67.8
1007,Alabama,Bibb,521,105,12,13,13,15,120,16,2,15,22,41,17,4,10817,49,2053:01:00,25,40767,63,42,41,8,21,20.8,15,22.1,0.4,0.2,0.1,2.4,74.1,0.4,46.1,68.4
1009,Alabama,Blount,445,44,6,13,13,14,96,12,1,21,21,36,21,6,10036,9,11535:1,13,50487,53,50,32,6,18,23.2,17.5,1.7,0.7,0.3,0.1,9,87.4,1.7,50.6,90
1011,Alabama,Bullock,547,111,,16,15,20,362,24,20,,47,44,23,4,9276,65,1528:01:00,,28251,64,28,26,,,20.7,15.3,68.9,0.8,0.2,0.7,7.5,22.3,3.1,45.2,51.4
1013,Alabama,Butler,560,100,,16,16,18,250,23,3,,20,41,19,4,10408,50,2015:01:00,23,33868,71,35,34,13,27,23.5,18.4,44,0.4,1,0,1.2,52.8,0.5,53.5,71.2
1015,Alabama,Calhoun,550,70,8,14,14,15,198,18,10,13,15,39,18,3,10673,42,2360:01:00,20,42091,61,50,45,9,21,22.1,16.3,20.9,0.5,0.9,0.1,3.6,72.6,0.8,51.8,33.7
1017,Alabama,Chambers,533,44,9,15,15,16,367,21,9,,20,40,19,4,8623,12,8531:01:00,26,35560,73,31,30,9,22,21.3,18.7,39.4,0.3,0.9,0.1,2,56.4,0.2,52.1,49.1
1019,Alabama,Cherokee,523,61,,13,14,13,137,15,0,14,28,34,18,4,10867,19,5172:01:00,,39144,62,25,16,6,21,20.2,21.6,4.7,0.6,0.3,0,1.5,91.3,0.1,50.3,85.7
1021,Alabama,Chilton,532,75,8,14,14,13,94,14,2,15,23,39,23,6,10205,,,20,42767,57,29,21,7,17,24.3,15.5,10.2,0.5,0.4,0.2,7.7,80.3,2.5,50.9,86.7
1023,Alabama,Choctaw,499,98,,15,14,18,231,21,12,,43,43,18,5,11424,23,4390:01:00,37,35089,68,35,34,12,21,20.4,21.3,42,0.2,0.2,0,0.8,56.4,0,52.5,100
1025,Alabama,Clarke,446,70,,15,15,16,134,25,11,,34,39,19,4,9806,41,2468:01:00,23,37317,55,16,16,6,14,22.1,18.5,43.9,0.4,0.4,0,1.4,53.1,0.2,52.7,76
1027,Alabama,Clay,494,,,14,14,15,202,16,2,,25,36,22,6,9843,44,2259:01:00,27,38908,65,22,25,,15,21.4,19.9,14.3,0.6,0.3,0,3.4,79.6,0.8,50.7,100
1029,Alabama,Cleburne,588,,,12,13,13,111,14,1,24,24,33,18,4,10906,20,5006:01:00,23,42136,60,46,40,,25,23.1,18.8,3.6,0.4,0.2,0.1,2.5,92.2,0.6,50.6,100
1031,Alabama,Coffee,387,56,8,13,13,16,164,16,7,8,15,35,19,5,9510,51,1970:01:00,13,46858,47,37,27,,13,23.7,16.2,17.4,1.4,1.6,0.4,6.7,70.8,1.7,50.4,47.2
1033,Alabama,Colbert,519,76,8,14,14,19,96,17,5,7,20,36,17,4,10731,103,971:01:00,15,41171,52,30,29,4,15,21.5,18.8,16.2,0.6,0.5,0.1,2.6,78.5,0.4,51.8,43.9
1035,Alabama,Conecuh,558,98,,17,16,17,318,25,15,,28,41,21,5,11169,24,4224:01:00,,29981,82,23,20,,22,21.6,20.9,46.1,0.4,0.2,0,1.7,50.6,0.3,51.9,80.9
1037,Alabama,Coosa,488,,,15,15,17,153,19,7,,34,39,19,5,10457,9,10724:1,,36078,69,47,46,,26,18,19.2,30.2,0.6,0.2,0.2,2.2,65.9,0.6,49.8,100
1039,Alabama,Covington,508,51,10,14,14,15,145,17,3,10,20,36,20,4,10406,61,1645:01:00,18,36355,59,50,43,,10,22,20,13,0.7,0.5,0,1.6,82.8,0.7,51.8,69.7
1041,Alabama,Crenshaw,491,,,13,14,17,178,17,16,,26,39,21,5,10364,79,1269:01:00,,36759,64,22,22,,23,22.7,18.1,24,0.5,1.8,0.1,1.8,70.2,0.8,51.2,100
1043,Alabama,Cullman,485,51,7,13,14,14,66,13,3,25,22,35,21,5,9916,65,1547:01:00,16,39290,53,67,28,3,14,22.4,17.9,1.4,0.6,0.5,0.1,4.4,92,0.9,50.6,73.2
1045,Alabama,Dale,436,46,6,14,14,14,304,18,10,12,17,41,18,4,10290,73,1377:01:00,14,45294,62,32,27,8,14,23.4,15.7,19.7,0.8,1.4,0.2,6.3,69.4,1,50.7,50.9
1047,Alabama,Dallas,607,61,8,18,17,19,409,30,12,8,25,44,19,3,10113,32,3164:01:00,31,29682,70,54,53,25,30,25.1,16.3,69.3,0.2,0.4,0,0.9,28.4,0.1,53.7,45.6
1049,Alabama,DeKalb,489,55,6,15,15,13,91,13,2,21,20,36,27,7,9995,39,2540:01:00,21,37305,65,65,35,5,15,24.7,16,1.8,2.1,0.4,0.7,14.1,80.6,3.7,50.7,90.1
1051,Alabama,Elmore,432,78,8,12,13,13,215,15,7,7,22,34,15,4,9626,23,4288:01:00,24,53548,52,27,27,7,16,22.8,14.4,21.1,0.4,0.7,0.1,2.8,73.4,0.9,51.4,54.2
1053,Alabama,Escambia,546,68,7,16,15,18,171,21,8,31,24,39,22,5,11302,32,3149:01:00,32,36840,69,36,34,11,16,22.2,16.8,32.2,3.5,0.3,0.1,2.1,60.4,0.2,48.7,63.5
1055,Alabama,Etowah,545,78,12,14,14,17,171,17,9,20,16,40,19,4,11890,60,1662:01:00,22,42145,61,65,59,6,15,21.9,17.7,15.5,0.6,0.8,0.3,3.7,78.2,1.4,51.7,37.5
1057,Alabama,Fayette,509,,,14,14,15,82,17,1,,34,37,18,4,10078,18,5586:01:00,,37085,58,46,45,,19,21.5,20.1,12,0.4,0.3,0,1.6,84.7,0.1,50.6,80.2
1059,Alabama,Franklin,552,71,7,15,14,14,37,15,4,23,21,38,25,6,11381,35,2881:01:00,21,38535,69,53,50,,20,24.5,16.1,4,1.5,0.4,0.2,16.4,77.6,4.8,50,70.4
1061,Alabama,Geneva,478,55,,14,14,14,128,16,1,,25,36,22,5,10101,30,3347:01:00,19,36289,62,14,15,10,13,22.2,19.7,9.5,1,0.4,0.1,3.9,83.7,1.9,50.7,89.6
1063,Alabama,Greene,585,,,19,18,21,312,31,21,,37,47,19,4,9427,24,4240:01:00,25,25398,90,13,13,,,23.1,18.7,80,0.3,0.2,0,1,18,0,52.5,100
1065,Alabama,Hale,488,70,,17,16,16,344,25,0,,24,43,18,4,10031,27,3767:01:00,30,35470,74,34,33,,13,23.5,17.8,57.4,0.2,0.2,0,1.2,40.4,0.5,52.9,89.2
1067,Alabama,Henry,394,94,,13,14,19,189,17,1,,17,37,19,5,10064,23,4305:01:00,,42501,62,27,26,,19,21.1,21.3,26.6,0.4,0.7,0,2.6,68.6,0.6,51.6,87.8
1069,Alabama,Houston,421,78,10,13,14,14,297,18,7,15,16,38,17,4,9997,107,938:01:00,20,43568,63,49,45,4,15,23.6,16.5,26.4,0.5,0.9,0.1,3.4,67.2,0.7,52.1,33.8
1071,Alabama,Jackson,543,96,10,14,14,15,69,15,4,9,30,35,20,4,10611,50,2016:01:00,14,40201,60,47,27,4,20,21.5,19,3.5,1.6,0.5,0.1,2.9,89.2,0.5,50.8,77
1073,Alabama,Jefferson,485,90,11,12,13,13,623,20,11,22,16,41,16,3,9495,97,1035:01:00,16,48415,47,66,62,15,21,23.1,14.6,42.7,0.3,1.6,0.1,3.8,50.6,1.4,52.8,9.8
1075,Alabama,Lamar,518,,,15,15,15,93,17,0,,26,36,18,4,9771,50,1984:01:00,,36520,59,0,2,,,21.4,21,10.9,0.2,0.1,0,1.4,85.9,0.4,51,100
1077,Alabama,Lauderdale,423,57,8,13,14,14,68,16,6,6,16,37,17,4,9360,67,1493:01:00,11,43008,50,49,47,6,12,20.3,18.7,10.2,0.5,0.9,0.1,2.5,84.7,0.6,52.1,49.3
1079,Alabama,Lawrence,542,64,,14,14,16,84,15,2,11,30,36,20,5,10176,33,3010:01:00,19,41771,62,67,34,6,17,21.6,17.4,11.1,5.8,0.2,0,2.2,76.4,0.2,51.3,91.3
1081,Alabama,Lee,423,67,6,14,14,10,175,18,11,8,12,38,17,4,8563,41,2453:01:00,7,46442,47,30,29,6,14,21.5,10.6,23.5,0.4,3.4,0.1,3.9,67.5,1.6,50.8,27.4
1083,Alabama,Limestone,366,55,7,12,12,13,152,14,4,4,19,36,19,4,10140,39,2546:01:00,21,55060,46,40,35,4,13,23.2,14.2,13.2,0.8,1.5,0.2,6.1,76.8,1.4,49.7,57.6
