 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,State,County,Overdose_mortality
CN0100100000000,1,1,"Autauga County, AL",Alabama,Autauga,10
CN0100300000000,1,3,"Baldwin County, AL",Alabama,Baldwin,17
CN0100500000000,1,5,"Barbour County, AL",Alabama,Barbour,
CN0100700000000,1,7,"Bibb County, AL",Alabama,Bibb,15
CN0100900000000,1,9,"Blount County, AL",Alabama,Blount,21
CN0101100000000,1,11,"Bullock County, AL",Alabama,Bullock,
CN0101300000000,1,13,"Butler County, AL",Alabama,Butler,
CN0101500000000,1,15,"Calhoun County, AL",Alabama,Calhoun,13
CN0101700000000,1,17,"Chambers County, AL",Alabama,Chambers,
CN0101900000000,1,19,"Cherokee County, AL",Alabama,Cherokee,14
CN0102100000000,1,21,"Chilton County, AL",Alabama,Chilton,15
CN0102300000000,1,23,"Choctaw County, AL",Alabama,Choctaw,
CN0102500000000,1,25,"Clarke County, AL",Alabama,Clarke,
CN0102700000000,1,27,"Clay County, AL",Alabama,Clay,
CN0102900000000,1,29,"Cleburne County, AL",Alabama,Cleburne,24
CN0103100000000,1,31,"Coffee County, AL",Alabama,Coffee,8
CN0103300000000,1,33,"Colbert County, AL",Alabama,Colbert,7
CN0103500000000,1,35,"Conecuh County, AL",Alabama,Conecuh,
CN0103700000000,1,37,"Coosa County, AL",Alabama,Coosa,
CN0103900000000,1,39,"Covington County, AL",Alabama,Covington,10
CN0104100000000,1,41,"Crenshaw County, AL",Alabama,Crenshaw,
CN0104300000000,1,43,"Cullman County, AL",Alabama,Cullman,25
CN0104500000000,1,45,"Dale County, AL",Alabama,Dale,12
CN0104700000000,1,47,"Dallas County, AL",Alabama,Dallas,8
CN0104900000000,1,49,"DeKalb County, AL",Alabama,DeKalb,21
CN0105100000000,1,51,"Elmore County, AL",Alabama,Elmore,7
CN0105300000000,1,53,"Escambia County, AL",Alabama,Escambia,31
CN0105500000000,1,55,"Etowah County, AL",Alabama,Etowah,20
CN0105700000000,1,57,"Fayette County, AL",Alabama,Fayette,
CN0105900000000,1,59,"Franklin County, AL",Alabama,Franklin,23
CN0106100000000,1,61,"Geneva County, AL",Alabama,Geneva,
CN0106300000000,1,63,"Greene County, AL",Alabama,Greene,
CN0106500000000,1,65,"Hale County, AL",Alabama,Hale,
CN0106700000000,1,67,"Henry County, AL",Alabama,Henry,
CN0106900000000,1,69,"Houston County, AL",Alabama,Houston,15
CN0107100000000,1,71,"Jackson County, AL",Alabama,Jackson,9
CN0107300000000,1,73,"Jefferson County, AL",Alabama,Jefferson,22
CN0107500000000,1,75,"Lamar County, AL",Alabama,Lamar,
CN0107700000000,1,77,"Lauderdale County, AL",Alabama,Lauderdale,6
CN0107900000000,1,79,"Lawrence County, AL",Alabama,Lawrence,11
CN0108100000000,1,81,"Lee County, AL",Alabama,Lee,8
CN0108300000000,1,83,"Limestone County, AL",Alabama,Limestone,4
CN0108500000000,1,85,"Lowndes County, AL",Alabama,Lowndes,
CN0108700000000,1,87,"Macon County, AL",Alabama,Macon,
CN0108900000000,1,89,"Madison County, AL",Alabama,Madison,8
CN0109100000000,1,91,"Marengo County, AL",Alabama,Marengo,
CN0109300000000,1,93,"Marion County, AL",Alabama,Marion,
CN0109500000000,1,95,"Marshall County, AL",Alabama,Marshall,21
CN0109700000000,1,97,"Mobile County, AL",Alabama,Mobile,15
CN0109900000000,1,99,"Monroe County, AL",Alabama,Monroe,
CN0110100000000,1,101,"Montgomery County, AL",Alabama,Montgomery,6
CN0110300000000,1,103,"Morgan County, AL",Alabama,Morgan,16
CN0110500000000,1,105,"Perry County, AL",Alabama,Perry,
CN0110700000000,1,107,"Pickens County, AL",Alabama,Pickens,
CN0110900000000,1,109,"Pike County, AL",Alabama,Pike,
CN0111100000000,1,111,"Randolph County, AL",Alabama,Randolph,
CN0111300000000,1,113,"Russell County, AL",Alabama,Russell,11
CN0111500000000,1,115,"St. Clair County, AL",Alabama,St. Clair,29
CN0111700000000,1,117,"Shelby County, AL",Alabama,Shelby,18
CN0111900000000,1,119,"Sumter County, AL",Alabama,Sumter,
CN0112100000000,1,121,"Talladega County, AL",Alabama,Talladega,11
CN0112300000000,1,123,"Tallapoosa County, AL",Alabama,Tallapoosa,
CN0112500000000,1,125,"Tuscaloosa County, AL",Alabama,Tuscaloosa,14
CN0112700000000,1,127,"Walker County, AL",Alabama,Walker,30
CN0112900000000,1,129,"Washington County, AL",Alabama,Washington,
CN0113100000000,1,131,"Wilcox County, AL",Alabama,Wilcox,
CN0113300000000,1,133,"Winston County, AL",Alabama,Winston,
CN0201300000000,2,13,"Aleutians East Borough, AK",Alaska,Aleutians East,
CN0201600000000,2,16,"Aleutians West Census Area, AK",Alaska,Aleutians West,
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",Alaska,Anchorage,18
CN0205000000000,2,50,"Bethel Census Area, AK",Alaska,Bethel,
CN0206000000000,2,60,"Bristol Bay Borough, AK",Alaska,Bristol Bay,
CN0206800000000,2,68,"Denali Borough, AK",Alaska,Denali,
CN0207000000000,2,70,"Dillingham Census Area, AK",Alaska,Dillingham,
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",Alaska,Fairbanks North Star,13
CN0210000000000,2,100,"Haines Borough, AK",Alaska,Haines,
CN0211000000000,2,110,"Juneau Borough/city, AK",Alaska,Juneau,20
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",Alaska,Kenai Peninsula,20
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",Alaska,Ketchikan Gateway,
CN0215000000000,2,150,"Kodiak Island Borough, AK",Alaska,Kodiak Island,
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",Alaska,Lake and Peninsula,
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",Alaska,Matanuska-Susitna,15
CN0218000000000,2,180,"Nome Census Area, AK",Alaska,Nome,
CN0218500000000,2,185,"North Slope Borough, AK",Alaska,North Slope,
CN0218800000000,2,188,"Northwest Arctic Borough, AK",Alaska,Northwest Arctic,
CN0222000000000,2,220,"Sitka Borough/city, AK",Alaska,Sitka,
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",Alaska,Southeast Fairbanks,
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",Alaska,Valdez-Cordova,
CN0228200000000,2,282,"Yakutat Borough/city, AK",Alaska,Yakutat,
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",Alaska,Yukon-Koyukuk,
CN0400100000000,4,1,"Apache County, AZ",Arizona,Apache,8
CN0400300000000,4,3,"Cochise County, AZ",Arizona,Cochise,18
CN0400500000000,4,5,"Coconino County, AZ",Arizona,Coconino,17
CN0400700000000,4,7,"Gila County, AZ",Arizona,Gila,31
CN0400900000000,4,9,"Graham County, AZ",Arizona,Graham,19
CN0401100000000,4,11,"Greenlee County, AZ",Arizona,Greenlee,
CN0401200000000,4,12,"La Paz County, AZ",Arizona,La Paz,23
CN0401300000000,4,13,"Maricopa County, AZ",Arizona,Maricopa,17
CN0401500000000,4,15,"Mohave County, AZ",Arizona,Mohave,30
CN0401700000000,4,17,"Navajo County, AZ",Arizona,Navajo,22
CN0401900000000,4,19,"Pima County, AZ",Arizona,Pima,22
CN0402100000000,4,21,"Pinal County, AZ",Arizona,Pinal,12
CN0402300000000,4,23,"Santa Cruz County, AZ",Arizona,Santa Cruz,9
CN0402500000000,4,25,"Yavapai County, AZ",Arizona,Yavapai,27
CN0402700000000,4,27,"Yuma County, AZ",Arizona,Yuma,15
CN0500100000000,5,1,"Arkansas County, AR",Arkansas,Arkansas,
CN0500300000000,5,3,"Ashley County, AR",Arkansas,Ashley,
CN0500500000000,5,5,"Baxter County, AR",Arkansas,Baxter,23
CN0500700000000,5,7,"Benton County, AR",Arkansas,Benton,13
CN0500900000000,5,9,"Boone County, AR",Arkansas,Boone,14
CN0501100000000,5,11,"Bradley County, AR",Arkansas,Bradley,
CN0501300000000,5,13,"Calhoun County, AR",Arkansas,Calhoun,
CN0501500000000,5,15,"Carroll County, AR",Arkansas,Carroll,17
CN0501700000000,5,17,"Chicot County, AR",Arkansas,Chicot,
CN0501900000000,5,19,"Clark County, AR",Arkansas,Clark,
CN0502100000000,5,21,"Clay County, AR",Arkansas,Clay,26
CN0502300000000,5,23,"Cleburne County, AR",Arkansas,Cleburne,
CN0502500000000,5,25,"Cleveland County, AR",Arkansas,Cleveland,
CN0502700000000,5,27,"Columbia County, AR",Arkansas,Columbia,15
CN0502900000000,5,29,"Conway County, AR",Arkansas,Conway,
CN0503100000000,5,31,"Craighead County, AR",Arkansas,Craighead,13
CN0503300000000,5,33,"Crawford County, AR",Arkansas,Crawford,18
CN0503500000000,5,35,"Crittenden County, AR",Arkansas,Crittenden,8
CN0503700000000,5,37,"Cross County, AR",Arkansas,Cross,
CN0503900000000,5,39,"Dallas County, AR",Arkansas,Dallas,
CN0504100000000,5,41,"Desha County, AR",Arkansas,Desha,
CN0504300000000,5,43,"Drew County, AR",Arkansas,Drew,
CN0504500000000,5,45,"Faulkner County, AR",Arkansas,Faulkner,10
CN0504700000000,5,47,"Franklin County, AR",Arkansas,Franklin,
CN0504900000000,5,49,"Fulton County, AR",Arkansas,Fulton,
CN0505100000000,5,51,"Garland County, AR",Arkansas,Garland,25
CN0505300000000,5,53,"Grant County, AR",Arkansas,Grant,
CN0505500000000,5,55,"Greene County, AR",Arkansas,Greene,13
CN0505700000000,5,57,"Hempstead County, AR",Arkansas,Hempstead,
CN0505900000000,5,59,"Hot Spring County, AR",Arkansas,Hot Spring,11
CN0506100000000,5,61,"Howard County, AR",Arkansas,Howard,
CN0506300000000,5,63,"Independence County, AR",Arkansas,Independence,10
CN0506500000000,5,65,"Izard County, AR",Arkansas,Izard,
CN0506700000000,5,67,"Jackson County, AR",Arkansas,Jackson,
CN0506900000000,5,69,"Jefferson County, AR",Arkansas,Jefferson,7
CN0507100000000,5,71,"Johnson County, AR",Arkansas,Johnson,13
