drugmort,aamort,chmort,infmort,physdistr,mentdistr,diabetic,hiv,foodins,healthyfood,mvmort,sleep,uninsure,chuninsure,healthcost,othpcp,disconyouth,houseincome,freelunch,segbw,segnww,homicide,firearm,under18,over65,aframer,amerindian,asian,hawaiin,hispanic,nonhispanicw,nonenglish,female,rural,lifelost,fairhealth,unhdays,mentunhdeays,lowbirth,smokers,obese,foodindex,physinactive,accessexercise,excdrinking,alcoholdrive,chlamydia,teenbirth,uninsureunder65,prevhospital,hba1c,mammogram,graduation,somecollege,laborforce,unemployed,chpoverty,chpovertyb,chpovertyhis,chpovertyw,X80income,X20income,singparent,socialassoc,violcrime,severehous,commute,new_pcp_ratio,new_mhp_ratio,new_othpcp_ratio,new_dent_ratio
2.302585093,6.148468296,4.007333185,1.945910149,2.48490665,2.564949357,13,205,14,10,2.944438979,3.63758616,14,3,9.196140023,23,12,10.94341084,49,34,30,1.386294361,2.772588722,24.7,2.660259537,19,0.5,1.2,0.1,2.8,74.9,0.7,51.5,42,9.122383093,2.890371758,1.435084525,4.2,2.197224577,17,34,6.9,29,71,15,33,5.986452005,32,11,4.077537444,84,62.7,90,59.7,25308,5.2,19,43,48,11,97896,10.02989991,3.218875825,13.7,5.583496309,2.708050201,43,2408,8.975503722,8.356319966,8.088254727
2.833213344,5.888877958,3.871201011,1.791759469,2.48490665,2.48490665,10,169,14,5,2.708050201,3.496507561,20,5,9.149846992,37,16,10.86641375,42,43,32,1.098612289,2.772588722,22,2.954910279,9.4,0.7,0.9,0.1,4.5,83,1.2,51.3,42.3,8.908424139,2.772588722,1.30833282,4,2.197224577,18,27,7.5,22,72,15,34,5.831882477,38,16,3.871201011,83,66,85,62.9,87316,5.5,20,50,12,14,99839,10.00174792,3.295836866,11.5,5.379897354,2.708050201,38,1352,7.088408779,7.893572074,7.649692624
2.708050201,6.255750042,4.65396035,2.48490665,2.564949357,2.564949357,15,120,16,2,3.091042453,3.713572067,17,4,9.28887425,49,25,10.61562821,63,42,41,2.079441542,3.044522438,20.8,2.708050201,22.1,0.4,0.2,0.1,2.4,74.1,0.4,46.1,68.4,9.372969295,2.995732274,1.481604541,4.4,2.48490665,20,40,7.3,34,33,14,33,6.095824562,47,14,4.343805422,82,61.3,85,50.2,8490,6.6,29,61,48,18,78138,9.813945704,3.401197382,10.2,4.990432587,2.63905733,47,2501,7.591104617,7.627057417,8.638702609
3.044522438,6.098074282,3.784189634,1.791759469,2.564949357,2.564949357,14,96,12,1,3.044522438,3.583518938,21,6,9.213933907,9,13,10.82947116,53,50,32,1.791759469,2.890371758,23.2,2.862200881,1.7,0.7,0.3,0.1,9,87.4,1.7,50.6,90,9.141311786,2.944438979,1.504077397,4.5,1.945910149,21,35,8.3,28,26,14,20,4.820281566,43,16,4.143134726,88,59.6,91,51.2,24352,5.4,22,20,57,21,83484,9.936873972,3.295836866,8.5,5.356586275,2.48490665,60,5247,9.576232705,9.353141171,8.564649133
2.564949357,6.309918278,4.248495242,2.079441542,2.63905733,2.63905733,15,198,18,10,2.708050201,3.663561646,18,3,9.275472467,42,20,10.64758922,61,50,45,2.197224577,3.044522438,22.1,2.791165108,20.9,0.5,0.9,0.1,3.6,72.6,0.8,51.8,33.7,9.279586545,3.091042453,1.589235205,4.7,2.197224577,20,32,6.1,31,59,15,22,6.584791392,45,14,4.262679877,81,56.9,92,54,46051,7,31,59,40,21,79864,9.703144581,3.688879454,14.7,6.352629396,2.708050201,30,1505,7.023758955,7.766416898,7.499423291
2.63905733,6.259581464,4.110873864,2.079441542,2.564949357,2.63905733,13,137,15,0,3.33220451,3.526360525,18,4,9.293485953,19,18.5,10.57500243,62,25,16,1.791759469,3.044522438,20.2,3.072693315,4.7,0.6,0.3,0,1.5,91.3,0.1,50.3,85.7,9.436200231,2.944438979,1.504077397,4.5,2.079441542,18,34,7.9,34,33,13,20,5.902633333,49,15,4.369447852,89,63.4,88,52.6,11197,5.4,30,41,48,29,76254,9.666308462,3.465735903,10,5.950642553,2.708050201,45,3720,8.368693183,8.55101474,8.774158291
2.708050201,6.276643489,4.317488114,2.079441542,2.63905733,2.63905733,13,94,14,2,3.135494216,3.663561646,23,6,9.230633075,41.5,20,10.66352206,57,29,21,1.945910149,2.833213344,24.3,2.740840024,10.2,0.5,0.4,0.2,7.7,80.3,2.5,50.9,86.7,9.275940829,3.044522438,1.547562509,4.5,2.197224577,20,36,7.8,30,32,14,29,5.998936562,57,18,3.951243719,89,64,86,40.2,19021,5.7,28,43,57,24,83220,9.836492684,3.36729583,15.9,5.846438775,2.772588722,48,5491,7.80016307,7.78092972,8.292798858
3.17805383,6.376726948,4.212127598,2.079441542,2.48490665,2.564949357,13,111,14,1,3.17805383,3.496507561,18,4,9.297068375,20,23,10.64865776,60,46,40,1.791759469,3.218875825,23.1,2.93385687,3.6,0.4,0.2,0.1,2.5,92.2,0.6,50.6,100,9.376109015,2.833213344,1.410986974,4.3,2.197224577,18,30,7.9,30,40,15,28,5.361292166,54,14,4.276666119,83,49.5,98,48,5665,6,28,43.5,83,21,75993,9.682342004,3.218875825,8.6,5.010635294,2.63905733,48,3770,7.825245291,8.518392472,8.92385758
2.079441542,5.958424693,4.025351691,2.079441542,2.564949357,2.564949357,16,164,16,7,2.708050201,3.555348061,19,5,9.160099156,51,13,10.75487703,47,37,27,1.791759469,2.564949357,23.7,2.785011242,17.4,1.4,1.6,0.4,6.7,70.8,1.7,50.4,47.2,8.939843124,2.944438979,1.458615023,4.2,2.197224577,19,34,6.8,29,71,14,26,6.336825731,37,15,4.094344562,88,63.1,96,60.8,20310,5.9,24,44,32,19,98707,9.876424633,3.610917913,15.9,5.771441123,2.63905733,23,1818,7.585788822,7.585788822,8.010359589
1.945910149,6.251903883,4.33073334,2.079441542,2.63905733,2.63905733,19,96,17,5,2.995732274,3.583518938,17,4,9.280892028,103,15,10.6254894,52,30,29,1.386294361,2.708050201,21.5,2.93385687,16.2,0.6,0.5,0.1,2.6,78.5,0.4,51.8,43.9,9.235325625,2.995732274,1.504077397,4.4,2.302585093,20,38,6.8,31,44,13,8,6.148468296,47,13,4.276666119,87,68.1,89,56.6,23586,7.9,27,36,47,22,82048,9.750860711,3.555348061,17.6,6.109247583,2.708050201,24,1604,8.264105764,6.878326468,7.812378206
