,fips,state,county,aamort,chmort,infmort,physdistr,mentdistr,diabetic,hiv,foodins,healthyfood,mvmort,sleep,uninsure,chuninsure,healthcost,othpcp,disconyouth,houseincome,freelunch,segbw,segnww,homicide,firearm,under18,over65,aframer,amerindian,asian,hawaiin,hispanic,nonhispanicw,nonenglish,female,rural,lifelost,fairhealth,unhdays,mentunhdeays,lowbirth,smokers,obese,foodindex,physinactive,accessexercise,excdrinking,alcoholdrive,chlamydia,teenbirth,uninsureunder65,prevhospital,hba1c,mammogram,graduation,somecollege,laborforce,unemployed,chpoverty,chpovertyb,chpovertyhis,chpovertyw,80income,20income,singparent,socialassoc,violcrime,severehous,commute,new_pcp_ratio,new_mhp_ratio,new_othpcp_ratio,new_dent_ratio,drugmort
0,1001,Alabama,Autauga,468.0,55.0,7.0,12,13,13,205.0,14,10,19.0,38,14.0,3.0,9859.0,23.0,12.0,56580.0,49.0,34.0,30.0,4.0,16.0,24.7,14.3,19.0,0.5,1.2,0.1,2.8,74.9,0.7,51.5,42.0,9158.0,18,4.2,4.2,9.0,17,34,6.9,29,71.0,15,33.0,398.0,32.0,11.0,59.0,84.0,62.7,90.0,59.7,25308.0,5.2,19.0,43.0,49.0,11.0,97896.0,22695.0,25.0,13.7,266.0,15,43,2408.0,7907.0,4257.0,3256.0,10.0
1,1003,Alabama,Baldwin,361.0,48.0,6.0,12,12,10,169.0,14,5,15.0,33,20.0,5.0,9413.0,37.0,16.0,52387.0,42.0,43.0,32.0,3.0,16.0,22.0,19.2,9.4,0.7,0.9,0.1,4.5,83.0,1.2,51.3,42.3,7394.0,16,3.7,4.0,9.0,18,27,7.5,22,72.0,15,34.0,341.0,38.0,16.0,48.0,83.0,66.0,85.0,62.9,87316.0,5.5,20.0,50.0,12.0,14.0,99839.0,22065.0,27.0,11.5,217.0,15,38,1352.0,1198.0,2680.0,2100.0,17.0
3,1007,Alabama,Bibb,521.0,105.0,12.0,13,13,15,120.0,16,2,22.0,41,17.0,4.0,10817.0,49.0,25.0,40767.0,63.0,42.0,41.0,8.0,21.0,20.8,15.0,22.1,0.4,0.2,0.1,2.4,74.1,0.4,46.1,68.4,11766.0,20,4.4,4.4,12.0,20,40,7.3,34,33.0,14,33.0,444.0,47.0,14.0,77.0,82.0,61.3,85.0,50.2,8490.0,6.6,29.0,61.0,49.0,18.0,78138.0,18287.0,30.0,10.2,147.0,14,47,2501.0,3491.0,2053.0,5646.0,15.0
4,1009,Alabama,Blount,445.0,44.0,6.0,13,13,14,96.0,12,1,21.0,36,21.0,6.0,10036.0,9.0,13.0,50487.0,53.0,50.0,32.0,6.0,18.0,23.2,17.5,1.7,0.7,0.3,0.1,9.0,87.4,1.7,50.6,90.0,9333.0,19,4.5,4.5,7.0,21,35,8.3,28,26.0,14,20.0,124.0,43.0,16.0,63.0,88.0,59.6,91.0,51.2,24352.0,5.4,22.0,20.0,57.0,21.0,83484.0,20679.0,27.0,8.5,212.0,12,60,5247.0,14418.0,11535.0,5243.0,21.0
7,1015,Alabama,Calhoun,550.0,70.0,8.0,14,14,15,198.0,18,10,15.0,39,18.0,3.0,10673.0,42.0,20.0,42091.0,61.0,50.0,45.0,9.0,21.0,22.1,16.3,20.9,0.5,0.9,0.1,3.6,72.6,0.8,51.8,33.7,10717.0,22,4.9,4.7,9.0,20,32,6.1,31,59.0,15,22.0,724.0,45.0,14.0,71.0,81.0,56.9,92.0,54.0,46051.0,7.0,31.0,59.0,40.0,21.0,79864.0,16369.0,40.0,14.7,574.0,15,30,1505.0,1123.0,2360.0,1807.0,13.0
9,1019,Alabama,Cherokee,523.0,61.0,8.0,13,14,13,137.0,15,0,28.0,34,18.0,4.0,10867.0,19.0,21.0,39144.0,62.0,25.0,16.0,6.0,21.0,20.2,21.6,4.7,0.6,0.3,0.0,1.5,91.3,0.1,50.3,85.7,12534.0,19,4.5,4.5,8.0,18,34,7.9,34,33.0,13,20.0,366.0,49.0,15.0,79.0,89.0,63.4,88.0,52.6,11197.0,5.4,30.0,41.0,49.0,29.0,76254.0,15777.0,32.0,10.0,384.0,15,45,3720.0,4310.0,5172.0,6465.0,14.0
10,1021,Alabama,Chilton,532.0,75.0,8.0,14,14,13,94.0,14,2,23.0,39,23.0,6.0,10205.0,40.0,20.0,42767.0,57.0,29.0,21.0,7.0,17.0,24.3,15.5,10.2,0.5,0.4,0.2,7.7,80.3,2.5,50.9,86.7,10678.0,21,4.7,4.5,9.0,20,36,7.8,30,32.0,14,29.0,403.0,57.0,18.0,52.0,89.0,64.0,86.0,40.2,19021.0,5.7,28.0,43.0,57.0,24.0,83220.0,18704.0,29.0,15.9,346.0,16,48,5491.0,2441.0,2504.0,3995.0,15.0
14,1029,Alabama,Cleburne,588.0,70.0,8.0,12,13,13,111.0,14,1,24.0,33,18.0,4.0,10906.0,20.0,23.0,42136.0,60.0,46.0,40.0,7.0,25.0,23.1,18.8,3.6,0.4,0.2,0.1,2.5,92.2,0.6,50.6,100.0,11803.0,17,4.1,4.3,9.0,18,30,7.9,30,40.0,15,28.0,213.0,54.0,14.0,72.0,83.0,49.5,98.0,48.0,5665.0,6.0,28.0,48.0,83.0,21.0,75993.0,16032.0,25.0,8.6,150.0,14,48,3770.0,2503.0,5006.0,7509.0,24.0
15,1031,Alabama,Coffee,387.0,56.0,8.0,13,13,16,164.0,16,7,15.0,35,19.0,5.0,9510.0,51.0,13.0,46858.0,47.0,37.0,27.0,7.0,13.0,23.7,16.2,17.4,1.4,1.6,0.4,6.7,70.8,1.7,50.4,47.2,7630.0,19,4.3,4.2,9.0,19,34,6.8,29,71.0,14,26.0,565.0,37.0,15.0,60.0,88.0,63.1,96.0,60.8,20310.0,5.9,24.0,44.0,32.0,19.0,98707.0,19466.0,37.0,15.9,321.0,14,23,1818.0,1970.0,1970.0,3012.0,8.0
16,1033,Alabama,Colbert,519.0,76.0,8.0,14,14,19,96.0,17,5,20.0,36,17.0,4.0,10731.0,103.0,15.0,41171.0,52.0,30.0,29.0,4.0,15.0,21.5,18.8,16.2,0.6,0.5,0.1,2.6,78.5,0.4,51.8,43.9,10253.0,20,4.5,4.4,10.0,20,38,6.8,31,44.0,13,8.0,468.0,47.0,13.0,72.0,87.0,68.1,89.0,56.6,23586.0,7.9,27.0,36.0,47.0,22.0,82048.0,17169.0,35.0,17.6,450.0,15,24,1604.0,3882.0,971.0,2471.0,7.0
19,1039,Alabama,Covington,508.0,51.0,10.0,14,14,15,145.0,17,3,20.0,36,20.0,4.0,10406.0,61.0,18.0,36355.0,59.0,50.0,43.0,7.0,10.0,22.0,20.0,13.0,0.7,0.5,0.0,1.6,82.8,0.7,51.8,69.7,9918.0,21,4.6,4.4,10.0,19,34,7.2,33,51.0,13,30.0,414.0,63.0,15.0,99.0,81.0,59.6,95.0,52.2,15456.0,7.1,34.0,58.0,8.0,26.0,73752.0,15997.0,37.0,12.7,273.0,15,25,1995.0,1991.0,1645.0,2910.0,10.0
